iter	Passed	Remaining
605	2249	1462
606	2252	1458
607	2255	1454
608	2258	1449
609	2261	1445
610	2264	1441
611	2266	1437
612	2269	1432
613	2272	1428
614	2275	1424
615	2278	1420
616	2282	1416
617	2284	1412
618	2287	1408
619	2290	1403
620	2293	1399
621	2296	1395
622	2299	1391
623	2302	1387
624	2304	1382
625	2307	1378
626	2309	1374
627	2312	1369
628	2315	1365
629	2317	1361
630	2320	1357
631	2323	1353
632	2327	1349
633	2330	1345
634	2334	1341
635	2337	1337
636	2340	1333
637	2343	1329
638	2345	1325
639	2348	1320
640	2351	1316
641	2353	1312
642	2356	1308
643	2359	1304
644	2361	1299
645	2364	1295
646	2367	1291
647	2370	1287
648	2372	1283
649	2375	1279
650	2378	1274
651	2380	1270
652	2383	1266
653	2386	1262
654	2388	1258
655	2391	1254
656	2394	1250
657	2397	1246
658	2400	1242
659	2402	1237
660	2405	1233
661	2408	1229
662	2411	1225
663	2413	1221
664	2416	1217
665	2419	1213
666	2422	1209
667	2424	1205
668	2427	1201
669	2430	1197
670	2433	1193
671	2436	1189
672	2439	1185
673	2441	1181
674	2444	1177
675	2447	1172
676	2450	1168
677	2452	1164
678	2455	1160
679	2458	1156
680	2460	1152
681	2463	1148
682	2467	1145
683	2471	1141
684	2474	1137
685	2477	1133
686	2479	1129
687	2482	1125
688	2485	1121
689	2487	1117
690	2490	1113
691	2493	1109
692	2495	1105
693	2498	1101
694	2501	1097
695	2504	1093
696	2507	1089
697	2509	1085
698	2512	1081
699	2515	1078
700	2518	1074
701	2521	1070
702	2523	1066
703	2526	1062
704	2529	1058
705	2531	1054
706	2534	1050
707	2537	1046
708	2539	1042
709	2542	1038
710	2545	1034
711	2548	1030
712	2550	1026
713	2553	1022
714	2556	1018
715	2559	1015
716	2562	1011
717	2564	1007
718	2567	1003
719	2570	999
720	2572	995
721	2575	991
722	2578	987
723	2580	983
724	2583	979
725	2586	976
726	2589	972
727	2592	968
728	2595	964
729	2600	961
730	2602	957
731	2605	953
732	2608	950
733	2610	946
734	2613	942
735	2616	938
736	2619	934
737	2622	930
738	2624	927
739	2627	923
740	2630	919
741	2633	915
742	2635	911
743	2638	907
